Location,Area,Rainfall,Temperature,Soil_Type,Nitrogen,Phosphorus,Potassium,Humidity,Yield(kg/ha),Season
Humnabad,729,1333.06,29.41,Laterite Soil,77,20,45,60.38,4700,Kharif
Bhalki,971,1003.52,28.21,Red Soil,63,31,30,65.42,4240,Kharif
Bhalki,1299,916.91,30.35,Red Soil,78,33,39,94.5,4237,Kharif
Bhalki,1312,1144.97,25.83,Black Soil,47,37,36,71.19,4481,Kharif
Bhalki,1035,1249.63,21.58,Red Soil,72,40,44,63.81,4700,Kharif
Bidar,751,1323.6,27.27,Red Soil,55,43,30,64.16,4700,Kharif
Bhalki,1312,1385.97,23.45,Black Soil,54,47,51,70.86,4700,Kharif
Bidar,221,1266.32,25,Black Soil,46,42,45,61.32,4675,Kharif
Basavakalyan,394,966.53,20.23,Black Soil,71,22,50,77.9,4471,Kharif
Aurad,728,1309.55,24.98,Black Soil,53,48,56,67.48,4700,Kharif
Aurad,791,1490.51,30.51,Laterite Soil,45,45,31,78.18,4700,Kharif
Basavakalyan,1383,1443.35,27.06,Laterite Soil,77,44,58,64.93,4700,Kharif
Bidar,343,1423,20.13,Laterite Soil,77,31,32,75.05,4700,Kharif
Bhalki,687,1081.3,26.11,Red Soil,47,48,44,80.93,4399,Rabi
Humnabad,481,1350.47,23.79,Laterite Soil,76,24,53,62.17,4700,Kharif
Bidar,442,1410.66,26.21,Black Soil,57,22,47,73.96,4700,Kharif
Bidar,879,1307,25.26,Laterite Soil,65,26,44,70.59,4700,Kharif
Basavakalyan,185,1050.34,32.12,Black Soil,48,35,56,68.41,4149,Kharif
Basavakalyan,1251,1472.3,20.54,Laterite Soil,61,39,33,81.16,4700,Rabi
Humnabad,1194,1170.49,28.89,Laterite Soil,48,36,32,80.6,4495,Kharif
Bhalki,394,977.88,31.06,Black Soil,64,40,57,82.07,4195,Kharif
Aurad,203,965.87,32.47,Black Soil,56,46,36,65.56,4025,Kharif
Bhalki,1266,1288.51,22.31,Red Soil,70,27,53,70,4700,Kharif
Bhalki,1466,1162.63,26.91,Red Soil,60,34,49,67.34,4549,Kharif
Bidar,325,956.69,20.57,Red Soil,51,47,51,78.92,4329,Kharif
Humnabad,339,1344.22,26.49,Laterite Soil,77,39,48,76.14,4700,Kharif
Bidar,956,1379.6,21.63,Laterite Soil,46,34,52,71.56,4700,Kharif
Basavakalyan,1365,1335.25,30.89,Black Soil,77,42,37,87.51,4700,Kharif
Aurad,765,1021.36,21.48,Black Soil,58,27,36,63.29,4402,Kharif
Humnabad,217,1313.87,26.67,Red Soil,64,44,33,94.12,4700,Kharif
Humnabad,473,906.43,26.77,Black Soil,71,30,59,64.08,4144,Kharif
Bhalki,1328,1083.07,32.63,Laterite Soil,65,44,39,87.06,4372,Kharif
Bidar,603,1139.29,28.51,Black Soil,46,40,57,72.89,4405,Kharif
Bhalki,375,1401.15,23.74,Black Soil,60,41,54,90.28,4700,Kharif
Bhalki,1406,1134.24,23.13,Black Soil,63,42,39,62.6,4591,Kharif
Humnabad,253,906.76,21.67,Black Soil,48,29,44,73.12,4170,Kharif
Aurad,615,1111.41,29.83,Black Soil,54,37,53,71.74,4365,Kharif
Basavakalyan,577,1199.35,28.98,Red Soil,66,28,51,94.76,4700,Kharif
Bhalki,1142,1469.4,27.93,Red Soil,56,35,47,94.49,4700,Kharif
Aurad,591,1464.62,20.53,Laterite Soil,46,20,39,66.64,4700,Rabi
Bhalki,873,1008.52,29.92,Red Soil,46,49,52,82.05,4171,Kharif
Aurad,1299,1011.09,28.34,Black Soil,78,41,38,78.74,4394,Kharif
Bidar,1209,998.03,32.53,Red Soil,62,25,54,65.4,4116,Kharif
Basavakalyan,1411,1373.35,27.63,Laterite Soil,60,49,54,65.87,4700,Kharif
Humnabad,1415,903.61,23.95,Red Soil,63,42,38,94.62,4284,Kharif
Bidar,282,976.31,24.96,Laterite Soil,69,21,51,75.85,4350,Kharif
Bhalki,1041,1222.78,22.29,Laterite Soil,74,32,45,64.4,4700,Kharif
Bhalki,1400,1048.54,29.4,Laterite Soil,50,41,46,67.52,4222,Kharif
Basavakalyan,545,955.41,29.2,Black Soil,71,25,45,69.39,4193,Kharif
Basavakalyan,239,1115.93,22.61,Laterite Soil,59,28,59,77.88,4608,Kharif
